Best score of 198.93 achieved after training 186 episodes
Chosen hyperparameters: {'seed': 10, 'observation': 'NGreedy5', 'environment': <environment.Environment object at 0x000002549E35FFD0>, 'variant': 0, 'input_shape': 29, 'hidden_size': 256, 'early_stopping': 20, 'validation_after_episodes': 5, 'lr_actor': 0.001, 'lr_critic_1': 0.005, 'lr_critic_2': 0.005, 'return_lambda': 0.875, 'gamma': 0.9, 'clip_epsilon': 0.05, 'episode_steps': 200, 'no_of_actors': 10, 'actor_updates_per_episode': 100, 'critic_updates_per_episode': 100, 'clip_annealing_factor': 0.99}

Episode number of best validation run: 186

Actions taken in best validation run: [0, 3, 2, 2, 2, 4, 4, 4, 1, 3, 2, 4, 1, 4, 3, 3, 2, 0, 1, 4, 1, 3, 2, 4, 1, 2, 2, 2, 2, 4, 4, 4, 4, 1, 1, 2, 3, 2, 2, 3, 4, 4, 4, 2, 1, 4, 3, 0, 2, 2, 1, 4, 4, 3, 1, 1, 2, 2, 3, 4, 4, 3, 3, 3, 1, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 1, 3, 3, 1, 1, 3, 2, 2, 2, 2, 4, 4, 4, 1, 4, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 2, 2, 2, 4, 4, 4, 1, 4, 0, 4, 2, 2, 2, 4, 4, 4, 2, 4, 3, 2, 2, 2, 4, 4, 1, 4, 2, 4, 1, 1, 3, 3, 4, 4, 4, 4, 4, 1, 3, 4, 0, 4, 0, 0, 2, 2, 4, 4, 2, 2, 2, 4, 4, 4, 2, 2, 4, 4, 3, 2, 2, 4, 4, 1, 4, 0, 4, 2, 2, 2, 2, 4, 4, 4, 4, 2, 1, 4, 3, 3, 1, 1, 1, 2, 4, 3, 3, 2, 2, 2, 2, 1, 3, 4, 4, 4, 4, 0, 0]

Score history:
episode: 125 | episode reward: 32.15 | validation reward: 42.53 | actor loss: 0.06 | actions: [59.1, 39.9, 63.0, 8.0, 30.0]
episode: 126 | episode reward: 36.10 | validation reward: None | actor loss: -0.17 | actions: [66.0, 31.6, 61.1, 10.3, 31.0]
episode: 127 | episode reward: 66.70 | validation reward: None | actor loss: -0.18 | actions: [41.7, 30.5, 57.8, 18.6, 51.4]
episode: 128 | episode reward: 66.55 | validation reward: None | actor loss: -0.07 | actions: [48.5, 31.1, 57.2, 13.0, 50.2]
episode: 129 | episode reward: 53.90 | validation reward: None | actor loss: 0.11 | actions: [55.6, 25.7, 59.9, 11.3, 47.5]
episode: 130 | episode reward: 67.00 | validation reward: 61.66 | actor loss: -0.19 | actions: [52.5, 26.9, 59.8, 12.0, 48.8]
episode: 131 | episode reward: 51.30 | validation reward: None | actor loss: 0.30 | actions: [51.1, 28.9, 56.2, 16.6, 47.2]
episode: 132 | episode reward: 44.60 | validation reward: None | actor loss: -0.01 | actions: [50.3, 36.2, 56.4, 19.1, 38.0]
episode: 133 | episode reward: 53.50 | validation reward: None | actor loss: -0.11 | actions: [43.0, 32.0, 57.6, 16.3, 51.1]
episode: 134 | episode reward: 43.55 | validation reward: None | actor loss: -0.07 | actions: [49.0, 33.6, 59.2, 14.9, 43.3]
episode: 135 | episode reward: 82.40 | validation reward: 72.19 | actor loss: -0.54 | actions: [42.6, 28.7, 52.8, 17.3, 58.6]
episode: 136 | episode reward: 82.40 | validation reward: None | actor loss: -0.17 | actions: [40.5, 33.6, 52.1, 18.6, 55.2]
episode: 137 | episode reward: 88.45 | validation reward: None | actor loss: -0.07 | actions: [31.7, 37.0, 54.3, 19.0, 58.0]
episode: 138 | episode reward: 116.00 | validation reward: None | actor loss: -0.38 | actions: [28.8, 29.3, 51.0, 21.4, 69.5]
episode: 139 | episode reward: 83.10 | validation reward: None | actor loss: 0.03 | actions: [34.5, 23.1, 61.1, 23.2, 58.1]
episode: 140 | episode reward: 94.35 | validation reward: 98.32 | actor loss: -0.19 | actions: [37.3, 30.2, 56.5, 18.5, 57.5]
episode: 141 | episode reward: 107.00 | validation reward: None | actor loss: 0.13 | actions: [21.2, 36.7, 50.0, 26.2, 65.9]
episode: 142 | episode reward: 120.65 | validation reward: None | actor loss: -0.20 | actions: [27.4, 22.8, 49.9, 23.3, 76.6]
episode: 143 | episode reward: 105.60 | validation reward: None | actor loss: 0.09 | actions: [30.5, 28.4, 51.4, 22.0, 67.7]
episode: 144 | episode reward: 121.50 | validation reward: None | actor loss: -0.21 | actions: [23.6, 27.2, 49.5, 25.8, 73.9]
episode: 145 | episode reward: 116.20 | validation reward: 115.58 | actor loss: -0.14 | actions: [30.4, 25.4, 57.3, 19.0, 67.9]
episode: 146 | episode reward: 93.10 | validation reward: None | actor loss: 0.42 | actions: [33.2, 25.5, 53.9, 26.0, 61.4]
episode: 147 | episode reward: 117.45 | validation reward: None | actor loss: -0.10 | actions: [27.8, 26.5, 48.1, 26.4, 71.2]
episode: 148 | episode reward: 105.40 | validation reward: None | actor loss: 0.23 | actions: [27.0, 26.2, 46.1, 25.9, 74.8]
episode: 149 | episode reward: 140.55 | validation reward: None | actor loss: -0.88 | actions: [28.4, 24.9, 52.1, 21.4, 73.2]
episode: 150 | episode reward: 135.25 | validation reward: 127.42 | actor loss: 0.03 | actions: [28.5, 23.8, 50.8, 20.8, 76.1]
episode: 151 | episode reward: 143.00 | validation reward: None | actor loss: -0.32 | actions: [25.8, 27.0, 48.2, 26.1, 72.9]
episode: 152 | episode reward: 138.40 | validation reward: None | actor loss: -0.05 | actions: [22.0, 30.2, 46.9, 26.7, 74.2]
episode: 153 | episode reward: 141.40 | validation reward: None | actor loss: -0.06 | actions: [25.3, 26.7, 52.4, 22.4, 73.2]
episode: 154 | episode reward: 161.40 | validation reward: None | actor loss: -0.63 | actions: [21.4, 29.6, 51.1, 24.2, 73.7]
episode: 155 | episode reward: 154.00 | validation reward: 142.04 | actor loss: 0.01 | actions: [18.6, 25.7, 51.2, 26.2, 78.3]
