Best score of 187.43 achieved after training 186 episodes
Chosen hyperparameters: {'seed': 10, 'observation': 'NGreedy5', 'environment': <environment.Environment object at 0x000002549E35FFD0>, 'variant': 0, 'input_shape': 29, 'hidden_size': 256, 'early_stopping': 20, 'validation_after_episodes': 5, 'lr_actor': 0.001, 'lr_critic_1': 0.005, 'lr_critic_2': 0.0001, 'return_lambda': 0.875, 'gamma': 0.9, 'clip_epsilon': 0.05, 'episode_steps': 200, 'no_of_actors': 5, 'actor_updates_per_episode': 100, 'critic_updates_per_episode': 100, 'clip_annealing_factor': 0.99}

Episode number of best validation run: 186

Actions taken in best validation run: [0, 2, 2, 2, 2, 4, 4, 4, 4, 3, 2, 4, 1, 0, 3, 3, 2, 1, 1, 4, 3, 2, 1, 4, 2, 2, 2, 2, 4, 4, 4, 4, 1, 1, 2, 2, 3, 3, 4, 4, 2, 2, 3, 2, 4, 4, 1, 4, 1, 2, 2, 3, 4, 4, 1, 1, 2, 2, 4, 4, 3, 3, 3, 3, 1, 1, 3, 2, 1, 4, 3, 2, 1, 4, 3, 3, 3, 1, 1, 2, 2, 2, 2, 3, 4, 1, 4, 4, 4, 0, 2, 3, 3, 2, 4, 1, 1, 4, 1, 3, 2, 2, 3, 2, 1, 4, 4, 4, 4, 4, 0, 2, 2, 2, 4, 4, 4, 2, 4, 3, 2, 1, 4, 1, 2, 1, 4, 3, 3, 1, 1, 3, 3, 0, 0, 0, 0, 0, 1, 3, 0, 4, 4, 0, 0, 2, 2, 4, 4, 2, 2, 2, 4, 4, 4, 2, 2, 4, 4, 3, 2, 2, 4, 4, 1, 0, 0, 0, 2, 2, 3, 3, 1, 1, 4, 4, 2, 1, 4, 3, 3, 1, 1, 1, 2, 3, 4, 3, 2, 2, 2, 2, 1, 0, 3, 4, 4, 4, 4, 0]

Score history:
episode: 114 | episode reward: 154.80 | validation reward: None | actor loss: 0.44 | actions: [34.2, 31.2, 42.2, 34.6, 57.8]
episode: 115 | episode reward: 171.50 | validation reward: 163.05 | actor loss: -0.62 | actions: [42.2, 25.8, 42.6, 25.2, 64.2]
episode: 116 | episode reward: 174.20 | validation reward: None | actor loss: -0.31 | actions: [34.8, 29.0, 48.0, 27.0, 61.2]
episode: 117 | episode reward: 183.10 | validation reward: None | actor loss: -0.53 | actions: [33.2, 18.0, 53.4, 23.2, 72.2]
episode: 118 | episode reward: 192.60 | validation reward: None | actor loss: -0.39 | actions: [29.8, 24.6, 51.2, 26.2, 68.2]
episode: 119 | episode reward: 191.20 | validation reward: None | actor loss: -0.09 | actions: [35.8, 26.2, 43.6, 27.8, 66.6]
episode: 120 | episode reward: 172.20 | validation reward: 173.21 | actor loss: 0.07 | actions: [41.0, 25.6, 43.8, 28.2, 61.4]
episode: 121 | episode reward: 150.30 | validation reward: None | actor loss: 0.24 | actions: [35.2, 26.4, 46.8, 26.8, 64.8]
episode: 122 | episode reward: 164.50 | validation reward: None | actor loss: -0.14 | actions: [33.4, 26.8, 51.0, 25.0, 63.8]
episode: 123 | episode reward: 169.30 | validation reward: None | actor loss: -0.48 | actions: [39.0, 28.6, 43.6, 27.8, 61.0]
episode: 124 | episode reward: 161.20 | validation reward: None | actor loss: -0.00 | actions: [37.6, 27.2, 44.8, 26.0, 64.4]
episode: 125 | episode reward: 199.30 | validation reward: 173.68 | actor loss: -0.64 | actions: [32.2, 25.4, 51.4, 24.6, 66.4]
episode: 126 | episode reward: 165.60 | validation reward: None | actor loss: 0.55 | actions: [34.6, 25.4, 48.8, 26.8, 64.4]
episode: 127 | episode reward: 161.10 | validation reward: None | actor loss: -0.23 | actions: [37.4, 26.6, 45.2, 29.2, 61.6]
episode: 128 | episode reward: 162.30 | validation reward: None | actor loss: -0.28 | actions: [43.4, 26.0, 41.8, 31.2, 57.6]
episode: 129 | episode reward: 164.30 | validation reward: None | actor loss: 0.09 | actions: [30.4, 28.0, 47.8, 29.2, 64.6]
episode: 130 | episode reward: 202.00 | validation reward: 173.68 | actor loss: -0.84 | actions: [30.8, 28.2, 50.0, 30.2, 60.8]
episode: 131 | episode reward: 166.90 | validation reward: None | actor loss: 0.41 | actions: [33.6, 25.8, 48.4, 26.4, 65.8]
episode: 132 | episode reward: 188.60 | validation reward: None | actor loss: -0.65 | actions: [35.0, 29.8, 45.0, 30.8, 59.4]
episode: 133 | episode reward: 172.60 | validation reward: None | actor loss: -0.05 | actions: [39.6, 25.6, 46.6, 27.4, 60.8]
episode: 134 | episode reward: 169.70 | validation reward: None | actor loss: -0.00 | actions: [35.2, 30.8, 43.2, 28.6, 62.2]
episode: 135 | episode reward: 180.70 | validation reward: 179.90 | actor loss: -0.36 | actions: [36.4, 23.0, 51.4, 23.0, 66.2]
episode: 136 | episode reward: 168.90 | validation reward: None | actor loss: -0.14 | actions: [37.2, 27.6, 45.6, 27.2, 62.4]
episode: 137 | episode reward: 188.20 | validation reward: None | actor loss: -0.37 | actions: [30.8, 27.2, 51.8, 27.4, 62.8]
episode: 138 | episode reward: 169.40 | validation reward: None | actor loss: -0.25 | actions: [37.4, 23.2, 48.6, 24.2, 66.6]
episode: 139 | episode reward: 160.00 | validation reward: None | actor loss: 0.11 | actions: [35.6, 24.6, 49.0, 25.6, 65.2]
episode: 140 | episode reward: 204.80 | validation reward: 174.02 | actor loss: -0.82 | actions: [28.6, 27.4, 53.2, 26.4, 64.4]
episode: 141 | episode reward: 165.00 | validation reward: None | actor loss: 0.46 | actions: [37.4, 30.2, 45.2, 30.6, 56.6]
